Field Header,แสดงตาม Media Group,Field Type,Field Required,Value,Field Description
Cost of Install,เฉพาะ Media Group Classic,Number,Yes,,ต้นทุนค่าติดตั้งของแต่ละป้าย
IATA Code,เฉพาะ Media Group Airport,Drop Down List,Yes only airport,"CEI, CNX, DMK, HKT, BKK, HDY, KBV, KKC, CJM, TST, KOP, NST",รหัสตัวย่อสนามบิน
Airport,เฉพาะ Media Group Airport,Drop Down List,Yes only airport,"ท่าอากาศยานนานาชาติแม่ฟ้าหลวง-เชียงราย, ท่าอากาศยานนานาชาติเชียงใหม่, ท่าอากาศยานนานาชาติดอนเมือง, ท่าอากาศยานนานาชาติภูเก็ต, ท่าอากาศยานสุวรรณภูมิ, ท่าอากาศยานนานาชาติหาดใหญ่, ท่าอากาศยานนานาชาติกระบี่, ท่าอากาศยานนานาชาติขอนแก่น, ท่าอากาศยานชุมพร, ท่าอากาศยานตรัง, ท่าอากาศยานนครพนม, ท่าอากาศยานนานาชาตินครศรีธรรมราช",ชื่อสนามบิน
Int'l / Dom.,เฉพาะ Media Group Airport,Radio,Yes only airport,"Domestic, International, Outdoor, Passenger Hall",แบ่งสนามบินเป็น International / Domesstic
Passenger Movement,เฉพาะ Media Group Airport,Number,Yes only airport,,จำนวนผู้โดยสาร
Airtime (min/hr),เฉพาะ Media Group Airport,Number,No,,ระยะเวลาขึ้นโฆษณาที่ลูกค้าจะเห็นใน 1 ชั่วโมง
Schedule (กำหนดการ),,,,,
Year of sign construction,แสดงทุก Media Group,Calendar,Yes,,ปีที่ก่อสร้างป้าย
Media Start Date,แสดงทุก Media Group,Calendar,Yes,,วันที่สื่อพร้อมขึ้นโฆษณา
Media Retire,แสดงทุก Media Group,Calendar,No,,มีใน CRM ปัจจุบัน
Media Write Off,แสดงทุก Media Group,Radio,Yes,"Yes, No",
Media Write Off Date,แสดงเมื่อ เลือก  Media Write Off ,Calendar,Yes,,วันที่สื่อสิ้นสุดการโฆษณา
Reason Write Off Media,แสดงเมื่อ เลือก  Media Write Off,Drop Down List,Yes,"Landlord Not Renew, Cancel Contract, Change Format, Non-Perform, Government Complain",สาเหตุการยกเลิกการขาย
Demolished Date,แสดงทุก Media Group,Calendar,Yes เมื่อ Media Write Off Date,วันที่รื้อโครงสร้างป้ายโฆษณา,วันที่รื้อโครงสร้างป้ายโฆษณา
Capex,แสดงทุก Media Group,Free Text,Yes,,"ค่าใช้จ่ายงานก่อสร้างงานปรับปรุงต่างๆ, ค่าธรรมเนียมและค่าใช้จ่ายขอติดตั้งมิเตอร์-ระบบไฟฟ้า ที่เป็นค่าใช้จ่ายครั้งเดียว รวมถึงงาน Logo"
Opex,แสดงทุก Media Group,Free Text,Yes,,ค่าไฟ ค่าภาษี ค่าประกันภัย ค่า MAINTENANCE ที่เกี่ยวข้องกับป้ายนั้น (ค่าใช้จ่ายรายเดือน)
Maintenance Start,แสดงทุก Media Group,Calendar,No,,มีใน CRM ปัจจุบัน
